number,form.food.ate_past_24_h,form.food.nbr_eat_7_day,form.food.fooditem,food,nbr_food,number_meals,Ano,Mês,Dia
1590,1,7,ampemba,,,,,,
1591,1,7,Menaka,,,,,,
1592,1,7,pitipoa,,,,,,
1600,1,4,ampemba,,,,,,
1601,1,7,Menaka,,,,,,
1602,1,4,pitipoa,,,,,,
1603,0,4,bageda,,,,,,
1610,1,4,tsako,,,,,,
1611,1,5,voanemba,,,,,,
1612,1,2,hazan-dranomasina,,,,,,
1613,1,4,bageda,,,,,,
1620,1,7,ampemba,,,,,,
1621,1,7,Menaka,,,,,,
1622,1,7,pitipoa,,,,,,
1630,1,4,ravina_hafa,,,,,,
1631,1,2,hazan-dranomasina,,,,,,
1632,1,7,bageda,,,,,,
1640,1,7,antake,,,,,,
1641,1,5,ampemba,,,,,,
1642,1,7,Menaka,,,,,,
1643,1,5,pitipoa,,,,,,
1644,1,4,balahazo _maina,,,,,,
1645,1,4,bageda,,,,,,
1650,1,7,balahazo _maina,,,,,,
1660,1,7,antake,,,,,,
1661,1,7,balahazo _maina,,,,,,
1662,1,7,bageda,,,,,,
1670,1,3,tsako,,,,,,
1671,1,3,legumes,,,,,,
1672,1,7,ampemba,,,,,,
1673,1,7,Menaka,,,,,,
1674,1,7,balahazo _maina,,,,,,
1675,1,7,bageda,,,,,,
1690,1,6,voanemba,,,,,,
1691,1,6,ravina_hafa,,,,,,
1692,1,6,balahazo _maina,,,,,,
1700,1,7,ravina_hafa,,,,,,
1701,1,7,balahazo _maina,,,,,,
1710,1,7,antake,,,,,,
1711,1,7,raketa_mena,,,,,,
1712,1,7,balahazo _maina,,,,,,
1713,1,7,bageda,,,,,,
1720,1,7,balahazo _maina,,,,,,
1721,1,7,bageda,,,,,,
1730,1,7,raketa_mena,,,,,,
1731,1,7,balahazo _maina,,,,,,
1740,1,7,legumes_hafa,,,,,,
1741,1,7,ampemba,,,,,,
1742,1,7,bageda,,,,,,
1750,1,4,ampemba,,,,,,
1751,1,2,ravina_hafa,,,,,,
1752,1,7,Menaka,,,,,,
1753,1,3,balahazo _maina,,,,,,
1754,1,3,bageda,,,,,,
1760,1,3,voanemba,,,,,,
1761,1,4,ampemba,,,,,,
1762,1,5,balahazo _maina,,,,,,
1770,1,7,voanemba,,,,,,
1771,1,7,balahazo _maina,,,,,,
1772,1,5,bageda,,,,,,
1780,1,7,voanemba,,,,,,
1781,1,7,balahazo _maina,,,,,,
1782,1,7,bageda,,,,,,
1790,1,5,sakafo_hafa_soraty,,,,,,
1791,1,7,balahazo _maina,,,,,,
1800,1,3,tsako,,,,,,
1801,1,4,voanemba,,,,,,
1802,1,3,antake,,,,,,
1803,1,6,taboara,,,,,,
1804,1,7,ampemba,,,,,,
1805,1,5,balahazo _maina,,,,,,
1810,1,14,ampemba,,,,,,
1811,1,16,pitipoa,,,,,,
1820,1,2,tsako,,,,,,
1821,1,4,balahazo _maina,,,,,,
1830,1,7,raketa_mena,,,,,,
1831,1,3,balahazo _maina,,,,,,
1840,1,7,raketa_mena,,,,,,
1841,1,1,ravi_balahazo,,,,,,
1850,1,14,ampemba,,,,,,
1851,1,14,pitipoa,,,,,,
1860,1,3,antake,,,,,,
1861,1,4,balahazo _maina,,,,,,
1862,1,3,bageda,,,,,,
1870,1,7,antake,,,,,,
1871,1,7,ampemba,,,,,,
1872,1,7,ravina_hafa,,,,,,
1873,1,7,Menaka,,,,,,
1874,1,7,balahazo _maina,,,,,,
1875,1,4,bageda,,,,,,
1880,1,7,bageda,,,,,,
1890,1,2,voanemba,,,,,,
1891,1,7,ampemba,,,,,,
1892,1,7,Menaka,,,,,,
1893,1,7,pitipoa,,,,,,
1900,1,7,voanemba,,,,,,
